"Fleet","Fleet_name","Area","Seas","Obs","Exp","SE","SE_input","year","model_run","iteration","scenario"
3,"ResFish",1,1,1.60028,1.7969,0.25,0.25,72,"em","2","opaka-sim"
3,"ResFish",1,1,2.95036,1.80743,0.25,0.25,73,"em","2","opaka-sim"
3,"ResFish",1,1,1.54063,1.86056,0.25,0.25,74,"em","2","opaka-sim"
3,"ResFish",1,1,1.73714,1.87245,0.25,0.25,75,"em","2","opaka-sim"
1,"Comm",1,1,1,90.178,0.1,0.1,1,"om","2","opaka-sim"
1,"Comm",1,1,1,87.8675,0.1,0.1,2,"om","2","opaka-sim"
1,"Comm",1,1,1,87.3355,0.1,0.1,3,"om","2","opaka-sim"
1,"Comm",1,1,1,87.1023,0.1,0.1,4,"om","2","opaka-sim"
1,"Comm",1,1,1,86.1541,0.1,0.1,5,"om","2","opaka-sim"
1,"Comm",1,1,1,94.4218,0.1,0.1,6,"om","2","opaka-sim"
1,"Comm",1,1,1,95.2697,0.1,0.1,7,"om","2","opaka-sim"
1,"Comm",1,1,1,91.0765,0.1,0.1,8,"om","2","opaka-sim"
1,"Comm",1,1,1,86.4992,0.1,0.1,9,"om","2","opaka-sim"
1,"Comm",1,1,1,81.4462,0.1,0.1,10,"om","2","opaka-sim"
1,"Comm",1,1,1,75.9034,0.1,0.1,11,"om","2","opaka-sim"
1,"Comm",1,1,1,76.6238,0.1,0.1,12,"om","2","opaka-sim"
1,"Comm",1,1,1,76.3375,0.1,0.1,13,"om","2","opaka-sim"
1,"Comm",1,1,1,75.8115,0.1,0.1,14,"om","2","opaka-sim"
1,"Comm",1,1,1,76.0988,0.1,0.1,15,"om","2","opaka-sim"
1,"Comm",1,1,1,77.3402,0.1,0.1,16,"om","2","opaka-sim"
1,"Comm",1,1,1,79.2392,0.1,0.1,17,"om","2","opaka-sim"
1,"Comm",1,1,1,78.5236,0.1,0.1,18,"om","2","opaka-sim"
1,"Comm",1,1,1,77.23,0.1,0.1,19,"om","2","opaka-sim"
1,"Comm",1,1,1,76.9884,0.1,0.1,20,"om","2","opaka-sim"
1,"Comm",1,1,1,74.3874,0.1,0.1,21,"om","2","opaka-sim"
1,"Comm",1,1,1,70.7997,0.1,0.1,22,"om","2","opaka-sim"
1,"Comm",1,1,1,68.1543,0.1,0.1,23,"om","2","opaka-sim"
1,"Comm",1,1,1,63.6236,0.1,0.1,24,"om","2","opaka-sim"
1,"Comm",1,1,1,59.1685,0.1,0.1,25,"om","2","opaka-sim"
1,"Comm",1,1,1,54.2232,0.1,0.1,26,"om","2","opaka-sim"
1,"Comm",1,1,1,51.3718,0.1,0.1,27,"om","2","opaka-sim"
1,"Comm",1,1,1,48.2607,0.1,0.1,28,"om","2","opaka-sim"
1,"Comm",1,1,1,44.9484,0.1,0.1,29,"om","2","opaka-sim"
1,"Comm",1,1,1,41.5946,0.1,0.1,30,"om","2","opaka-sim"
